Refrigeration Daily Rounds,,,,,,,,,
Name: Brett Stone,,,,,,,,,
Date: ,,,,,,,,,
Equipment ,Designation,Location,Model / Serial / Manufacturer info,Task Items,Expected Value,Actual Value/Defiencies,,,Deficiency Notes (Specify unit designation or model/serial)
Rack A ,,South Compressor Room (Behind Large Dish),Rack A: Hussman - CS0208SMM / 1040618201347410,Suction and Discharge Pressure,At or near setpoint,,,,
,,,,Receiver Level ,"40-60%, Should not exceed 80%",,,,
,,,,Alarms,No Alarms,,,,
,,,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots.",,Picture,Name,
,,,,Oil Levels at Compressors (select from dropdown),50%,0%,,0%,
,1,,Rack A Compressor - Hussmann IR6B54D6PB / 2584164375,,,,,25%,
,,,,,50%,0%,,50%,
,2,,Rack A Compressor - Hussmann IR4B2702PB / 2584570452,,,,,,
,,,,,50%,0%,,75%,
,3,,Rack A Compressor - Hussmann IR4C2067SB / 258470008,,,,,100%,
,,,,,50%,0%,,,
,4,,Rack A Compressor - Hussmann IR4C2067SB / 2584570458,,,,,,
,,,,,50%,0%,,,
,5,,Rack A Compressor - Hussmann IR6B4709PB / 2584570289,,,,,,
,,,,,50%,0%,,0%,
,6,,Rack A Compressor - Hussmann IR6B4709PB / 2584570291,,,,,25%,
,,,,,50%,0%,,50%,
,7,,Rack A Compressor - Hussmann IR6B4709PB / 2584570290,,,,,,
,,,,,50%,0%,,75%,
,8,,Rack A Compressor - Hussmann IR64B4709PB / 2548570292,,,,,100%,
,,,,,,,,,
Rack B,,North Compressor Room (Next to MRE Shop),Rack B: Zero Zone - R-10703MA-151-448A / 2056939NA-0921,Suction and Discharge Pressure,At or near setpoint,,,,
,,,,Receiver Level ,"40-60%, Should not exceed 80%",,,,
,,,,Alarms,No Alarms,,,,
,,,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots.",,,,
,,,,Oil Levels at Compressors (select from dropdown),50%,0%,,0%,
,1,,Rack B Compressor - 4FE28,,,,,25%,
,,,,,50%,0%,,50%,
,2,,Rack B Compressor - 4FE28,,,,,,
,,,,,50%,0%,,75%,
,3,,Rack B Compressor - 4FE28,,,,,100%,
,,,,,50%,0%,,,
,4,,Rack B Compressor - 4FE28,,,,,,
,,,,,50%,0%,,,
,5,,Rack B Compressor - 4FE-28-2NU / 2500695626,BAD COMPRESSOR / NOT IN SERVICE,,,,0%,Working with AMS for replacement
,,,,,50%,0%,,25%,
,6,,Rack B Compressor - 4FE28,,,,,50%,
,,,,,50%,0%,,,
,7,,Rack B Compressor - 4FE28,,,,,75%,
,,,,,50%,0%,,100%,
,8,,Rack B Compressor - 4FE28,,,,,,
,,,,,,,,,
Rack Condenser A,,Rooftop South,,Visual Inspection ,"No abnormal noise, rust, leaks ",,,,
,,,,Cleanliness,"Clean coils, with good airflow",,,,
,,,,Fans,All functioning properly,,,,
Rack Condenser B,,Rooftop North,,Visual Inspection ,"No abnormal noise, rust, leaks ",,,,
,,,,Cleanliness,"Clean coils, with good airflow",,,,
,,,,Fans,All functioning properly,,,,
Evaporators,EV 24 - 29,Vegetable Cooler,HEM0370C56MAB0000 / T22A07475,Visual Inspection ,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,,,HEM0370C56MAB0000 / T22A07479,,,,,,
,,,HEM0370C56MAB0000 / T22A07479,,,,,,
,,,HEM0370C56MAB0000 / T22A07467,,,,,,
,,,HEM0370C56MAB0000 / T22A07457,,,,,,
,,,HEM0370C56MAB0000 / T22A07468,,,,,,
,EV 1 & 2 (split system),Veggie Stagng,Heatcraft - BEM0850M56EPAD4541 / T22H12673,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,,,Heatcraft - BEM0850M56EPAD4541 / T22H12674,,,,,,
,"B07, B08, B09",Veggie Debox,KMP495MA-S4D / T2663.212301003,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,,,KMP495MA-S4D / T2663.212301004,,,,,,
,,,SMA24E-079RCMM / MY22A001280,,,,,,
,AM3,Veggie Corridor,MK36A-354-EA / MY13H154559,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,,,MK36A-354-EA / MY13H154560,,,,,,
,"AH7 North & South, AH1 west, Bohn Split systems (x3)",Receiving,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,"AM 8-1, 8-3",Protein Holding,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,"AM 9-1, 9-3",Protein Debox,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
," AM 7-1, AM 7-2, AH1 East",Protein Prep,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,"AM1 North and South, AM2, AH2-1, AH2-2, AH4NW, AH4NE, AH4N, AH4S, AH4SE",Blast Holding,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,"EV10-15 & AH6-1, AH6-2, AH6-3, AH6-5",Production 2,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,"EV16-19 & AM5-1, AM5-2, AM5-3, AM5-5",Production 3,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,"North, Middle, South",Shippng Staging,,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,EV1 & 2,Shipping (East Dock Room),,Visual Inspection,"No abnormal noise, rust leaks or ice buildup, cleanliness, check for hot spots, confirm fans operational",,,,
,,,,,,,,,
RTU,RTU 1-20,Roof,Carrier,Visual Inspection ,No abnormal noise,,,,
,,,,Coil,Clean coils with good airflow,,,,
,,,,Fans,Operational,,,,
,,,,Drain Lines,Clean and flowing clear,,,,
DOAS,1 & 2,Roof,CaptiveAire,Visual Inspection,"No abnormal noise, rust, cleanliness",,,,
,,,1 - CASRTU3-I-200-15-15T-DOAS / 4513551,Fans,Operating normally,,,,
